name,date,high,low,close,volume
LiteCoin,2019-05-26,113.5553139,100.4120011,112.5806516,4236944919.0
LiteCoin,2019-05-27,121.2574611,110.8074075,118.7913744,6131559759.0
LiteCoin,2019-05-28,118.5865138,113.2415076,114.8085192,5099991369.0
LiteCoin,2019-05-29,117.9815323,111.3025111,115.1717109,4013227500.0
LiteCoin,2019-05-30,119.6303227,107.2543307,109.9497341,4267911540.0
LiteCoin,2019-05-31,115.1298093,106.7211726,114.9382874,4704252118.0
LiteCoin,2019-06-01,116.196135,112.4619585,113.0573062,4018184540.0
LiteCoin,2019-06-02,116.2693951,112.4988224,115.4453439,3556791238.0
LiteCoin,2019-06-03,116.5961714,108.9130084,109.4994007,3454553676.0
LiteCoin,2019-06-04,109.1412904,100.6611629,103.0437203,3932955963.0
LiteCoin,2019-06-05,105.6565444,101.963047,104.7713417,3628122597.0
LiteCoin,2019-06-06,111.5881006,102.6328268,111.5881006,3352577437.0
LiteCoin,2019-06-07,120.8077633,110.1267695,118.6056681,4614564245.0
LiteCoin,2019-06-08,120.102012,115.3683217,119.1069199,4699686654.0
LiteCoin,2019-06-09,119.7819785,114.745163,116.2659975,4141563800.0
LiteCoin,2019-06-10,130.0812416,114.6429659,130.0812416,4683027313.0
LiteCoin,2019-06-11,138.9567644,127.08768,136.9697688,5175185234.0
LiteCoin,2019-06-12,142.6810342,132.8878262,135.2433559,5248652166.0
LiteCoin,2019-06-13,137.0827661,129.6278403,132.0039309,4966367463.0
LiteCoin,2019-06-14,133.5569865,127.4471815,132.8889886,4304088198.0
LiteCoin,2019-06-15,139.8043548,133.1522185,138.518362,4112539570.0
LiteCoin,2019-06-16,138.8815108,134.4345833,137.6162912,3762046711.0
LiteCoin,2019-06-17,137.6595367,133.0703458,134.3030349,3629113827.0
LiteCoin,2019-06-18,136.6247756,130.0890324,136.1657308,3642803479.0
LiteCoin,2019-06-19,139.9929903,134.7829859,137.2967065,4292662588.0
LiteCoin,2019-06-20,138.6602603,134.2041038,136.5128439,4094635564.0
LiteCoin,2019-06-21,142.0684901,136.5852123,139.6783708,4298117521.0
LiteCoin,2019-06-22,145.3550153,139.2192475,141.9880451,5097807774.0
LiteCoin,2019-06-23,142.6814084,137.297974,137.4182148,4633915889.0
LiteCoin,2019-06-24,137.6874924,133.2388126,135.8456556,4037143269.0
