name,month_year,market_cap
Bitcoin,2024-11,1705719333333.3333
Ethereum,2024-11,373000933333.3333
Solana,2024-11,102063995378.5
Binance-Coin,2024-11,91015890597.2
Ripple,2024-11,55007405635.73333
Bitcoin,2024-12,1940396363636.3635
Ethereum,2024-12,457310636363.63635
Ripple,2024-12,136752937500.0
Solana,2024-12,108774437500.0
Binance-Coin,2024-12,104450103443.8125
