name,year,open,high,low,close,volume,market_cap
Optimism,2023,1.8186958332794523,4.155640653,0.90968852,1.8264761258986302,183799425515.77,372375260.61671233
Optimism,2024,2.399870730792023,4.853165081,1.070529384,2.397777091871795,189372040993.5,1083461870.5358973
Protocol,2020,0.9348628616455696,1.587970408,0.526680181,0.9371792053291139,4063458038.39,185249326.40898734
Protocol,2021,5.589394758482192,16.24655706,1.300854967,5.626497790032877,129633971442.48,2530787834.770137
Protocol,2022,6.965932545550685,20.4196173,1.241960059,6.93413432889863,320133636340.21,4739218477.287671
Protocol,2023,1.7348650668465755,4.608277582,0.972013794,1.7415218405890411,104019743707.3,1588640206.2131507
Protocol,2024,5.271576572467236,8.965905792,2.463651712,5.281149715099715,279416823098.2,5811166052.247863
Quant-Network,2018,1.1696072671567568,4.901863435,0.181763627,1.177766854389189,58407516.479513,13931730.176297296
Quant-Network,2019,4.945331989123288,15.57434744,1.217874285,4.954612686345206,1287160441.4288,55737441.45550685
Quant-Network,2020,7.569230575316939,17.3692209,1.250899244,7.5918350126721315,1649197954.8648999,91317711.19295081
Quant-Network,2021,129.12035539230138,424.4305,10.09662749,129.57910703123287,16247013988.514,1556823749.5583563
Quant-Network,2022,112.53002973134247,225.1099,40.9746,112.36457283323288,17037528292.18,1360120083.2756164
Quant-Network,2023,111.00092564246576,161.8737,84.4021,111.08207641041096,14901949043.789999,1340629606.8739727
Quant-Network,2024,92.47503418803419,170.6476,50.691,92.48767037037037,15293831603.48,1115926671.1868944
Ripple,2013,0.013517589865771812,0.0614449,0.00287487,0.013618498187919463,471871.96859,110471743.75288591
Ripple,2014,0.009575744438356164,0.0296675,0.00280235,0.00956412504109589,167488065.76077,144624890.52720547
Ripple,2015,0.00891398709589041,0.0244549,0.00404138,0.008865694219178082,249276461.2901,284409283.78821915
Ripple,2016,0.006892485655737704,0.00948536,0.00501142,0.0068942302732240435,522548536.91412,241402852.8215847
Ripple,2017,0.1973427504849315,2.801866165,0.0053724,0.20351839259726026,95630159602.1691,7697491756.7375345
Ripple,2018,0.681117373720548,3.917855078,0.252832978,0.6751418894109589,258322812772.4,26256573365.046574
Ripple,2019,0.3099608405671233,0.499451408,0.176291375,0.3095921014712329,425147433405.8,13086120176.336987
Ripple,2020,0.2580575514672131,0.759726668,0.113268228,0.25814272370765023,1451324036529.2,11153939932.0
Ripple,2021,0.8673894387835617,1.977925914,0.212911377,0.8687494660739726,3917305471407.0,39000959580.52877
Ripple,2022,0.5140549975808218,0.911474967,0.292024793,0.5129061525643835,1670585827593.0,23747975963.857533
Ripple,2023,0.5121868296109588,0.898538492,0.319255543,0.5131268713150685,1249269838313.2,26651986656.539726
Ripple,2024,0.6690871963618233,2.843054817,0.392426913,0.6743734547264957,1954869814951.0,37442986034.30769
Sandbox,2020,0.04607680057857143,0.219275184,0.028991845,0.04505216938571428,1929941739.3470001,26479132.997285713
Sandbox,2021,1.2097263038328767,8.424103977,0.03475554,1.2246881262712328,339913631742.293,1045938865.4399178
Sandbox,2022,1.8434737176465754,6.009815595,0.379010266,1.8286975380164383,229360730807.4,2120673053.6958904
Sandbox,2023,0.4929041722876712,0.937731949,0.277503742,0.4935316015780822,90035018350.24,874164660.3287672
Sandbox,2024,0.4259558737521367,1.05741653,0.211652982,0.42636398824501426,106763200488.0,970833124.5849003
Solana,2020,1.6893469952621722,4.938232821,0.503700654,1.6929301394157303,6369509020.1166,55092948.59656554
Solana,2021,79.68005691982466,259.5182,1.497772311,80.13611742906028,926734672590.68,23593151854.343643
Solana,2022,58.33479870494247,179.3228,8.115817282,57.90439695867945,864370724817.5,19249739601.076714
Solana,2023,29.18431978011233,125.3934,9.705558643,29.45964760428767,949418739683.7,11879026193.60548
Solana,2024,153.54056866096866,263.5837,79.1284,153.88780826210825,2791886339398.0,69927927040.56125
Stacks,2019,0.14771104414705882,0.394976863,0.080507165,0.14504918011764706,153349309.0048,0.0
Stacks,2020,0.16210954905191258,0.447219803,0.044266905,0.16299032947814207,663488579.0081,79522866.47409835
Stacks,2021,1.403604204041096,3.309039835,0.349783505,1.4084653323150687,2178833743.3953,1620481962.330411
Stacks,2022,0.743459889019178,2.672836899,0.199932003,0.7383258883479452,5255614559.9411,967678510.030137
Stacks,2023,0.6474248497424657,1.72685912,0.207937632,0.6510475756547945,65539585722.3599,902056208.501096
Stacks,2024,2.048104960290598,3.83395897,1.081605293,2.0520306387179486,110340048239.47,3000724838.6666665
USD-Coin,2018,1.0114935290833333,1.126954811,0.94440658,1.0118186336785715,763240526.2928,142770362.74761903
